Date 	 Name 	 ID 	 Gender 	 Appearance 	 Trial 	 Block 	 Bin 	 Condition 	 Category 	 Number 	 Valid 	 Keypress 	 Correct 	 RT 	 Realcorrect 	 Deadline 	 Timeout 	 Stimtrigger 	 Resptrigger 	 Fedtrigger 	WithinTime
10-Apr-13	2305	2305	2	0	1	1	1	1	4	1	1	0	0	0	0	0.6	1	11	0	51	0
10-Apr-13	2305	2305	2	0	2	1	1	3	3	3	1	0	0	0	0	0.9	1	13	0	51	0
10-Apr-13	2305	2305	2	0	3	1	1	6	6	3	1	0	0	0	0	0.9	1	16	0	51	0
10-Apr-13	2305	2305	2	0	4	1	1	6	6	3	0	0	0	0	0	0.9	1	16	0	51	0
10-Apr-13	2305	2305	2	0	5	1	1	1	4	1	1	0	0	0	0	0.9	1	11	0	51	0
10-Apr-13	2305	2305	2	0	6	1	1	5	5	1	1	1	1	0.27634	1	0.9	0	15	35	36	0
10-Apr-13	2305	2305	2	0	7	1	1	5	5	1	0	1	0	0.10057	1	0.9	0	15	37	48	0
10-Apr-13	2305	2305	2	0	8	1	1	1	4	1	1	2	0	0.02959	0	0.9	0	11	40	41	0
10-Apr-13	2305	2305	2	0	9	1	1	2	2	4	1	1	0	0.03	0	0.9	0	12	40	41	0
10-Apr-13	2305	2305	2	0	10	1	1	4	1	3	1	2	1	0.40876	1	0.9	0	14	32	33	0
10-Apr-13	2305	2305	2	0	11	1	1	6	6	3	0	1	1	0.49912	0	0.9	0	16	47	38	0
10-Apr-13	2305	2305	2	0	12	1	1	2	2	4	1	2	1	0.48045	1	0.9	0	12	30	31	0
10-Apr-13	2305	2305	2	0	13	1	1	4	1	3	0	2	0	0.42143	1	0.9	0	14	34	49	0
10-Apr-13	2305	2305	2	0	14	1	1	2	2	4	1	2	1	0.48457	1	0.9	0	12	30	31	0
10-Apr-13	2305	2305	2	0	15	1	1	3	3	3	0	1	0	0.07222	1	0.9	0	13	34	49	0
10-Apr-13	2305	2305	2	0	16	1	1	3	3	3	0	2	1	0.04971	0	0.9	0	13	44	39	0
10-Apr-13	2305	2305	2	0	17	1	1	2	2	4	1	2	1	0.20327	1	0.9	0	12	30	31	0
10-Apr-13	2305	2305	2	0	18	1	1	3	3	3	1	1	1	0.42741	1	0.9	0	13	32	33	0
10-Apr-13	2305	2305	2	0	19	1	1	6	6	3	0	1	1	0.26116	0	0.9	0	16	47	38	0
10-Apr-13	2305	2305	2	0	20	1	1	1	4	1	1	2	0	0.08409	0	0.9	0	11	40	41	0
10-Apr-13	2305	2305	2	0	21	1	1	1	4	1	1	1	1	0.11806	1	0.9	0	11	30	31	0
10-Apr-13	2305	2305	2	0	22	1	1	4	1	3	1	2	1	0.12112	1	0.9	0	14	32	33	0
10-Apr-13	2305	2305	2	0	23	1	1	1	4	1	1	2	0	0.0066	0	0.9	0	11	40	41	0
10-Apr-13	2305	2305	2	0	24	1	1	3	3	3	0	2	1	0.36709	0	0.9	0	13	44	39	0
10-Apr-13	2305	2305	2	0	25	1	1	4	1	3	1	2	1	0.44508	1	0.9	0	14	32	33	0
10-Apr-13	2305	2305	2	0	26	1	1	4	1	3	1	2	1	0.4967	1	0.9	0	14	32	33	0
10-Apr-13	2305	2305	2	0	27	1	1	6	6	3	0	1	1	0.08005	0	0.9	0	16	47	38	0
10-Apr-13	2305	2305	2	0	28	1	1	6	6	3	0	1	1	0.04618	0	0.9	0	16	47	38	0
10-Apr-13	2305	2305	2	0	29	1	1	3	3	3	1	1	1	0.03336	1	0.9	0	13	32	33	0
10-Apr-13	2305	2305	2	0	30	1	1	6	6	3	0	1	1	0.03739	0	0.9	0	16	47	38	0
10-Apr-13	2305	2305	2	0	31	1	1	5	5	1	1	1	1	0.436	1	0.9	0	15	35	36	0
10-Apr-13	2305	2305	2	0	32	1	1	5	5	1	0	1	0	0.46491	1	0.9	0	15	37	48	0
10-Apr-13	2305	2305	2	0	33	1	1	2	2	4	1	2	1	0.04168	1	0.9	0	12	30	31	0
10-Apr-13	2305	2305	2	0	34	1	1	1	4	1	1	1	1	0.47902	1	0.9	0	11	30	31	0
10-Apr-13	2305	2305	2	0	35	1	1	5	5	1	1	1	1	0.07453	1	0.9	0	15	35	36	0
10-Apr-13	2305	2305	2	0	36	1	1	2	2	4	1	2	1	0.09509	1	0.9	0	12	30	31	0
10-Apr-13	2305	2305	2	0	37	1	1	5	5	1	0	1	0	0.03613	1	0.9	0	15	37	48	0
10-Apr-13	2305	2305	2	0	38	1	1	5	5	1	1	1	1	0.4527	1	0.9	0	15	35	36	0
10-Apr-13	2305	2305	2	0	39	1	1	6	6	3	1	2	1	0.2782	1	0.9	0	16	35	36	0
10-Apr-13	2305	2305	2	0	40	1	1	5	5	1	0	2	1	0.45694	0	0.9	0	15	47	38	0
10-Apr-13	2305	2305	2	0	41	1	1	6	6	3	1	2	1	0.3842	1	0.9	0	16	35	36	0
10-Apr-13	2305	2305	2	0	42	1	1	1	4	1	1	1	1	0.07634	1	0.9	0	11	30	31	0
10-Apr-13	2305	2305	2	0	43	1	1	6	6	3	1	1	0	0.21158	0	0.9	0	16	45	46	0
10-Apr-13	2305	2305	2	0	44	1	1	5	5	1	1	1	1	0.01272	1	0.9	0	15	35	36	0
10-Apr-13	2305	2305	2	0	45	1	1	1	4	1	1	1	1	0.09695	1	0.9	0	11	30	31	0
10-Apr-13	2305	2305	2	0	46	1	1	5	5	1	0	1	0	0.47619	1	0.9	0	15	37	48	0
10-Apr-13	2305	2305	2	0	47	1	1	3	3	3	1	1	1	0.4553	1	0.9	0	13	32	33	0
10-Apr-13	2305	2305	2	0	48	1	1	2	2	4	1	1	0	0.41572	0	0.9	0	12	40	41	0
10-Apr-13	2305	2305	2	0	49	1	1	4	1	3	1	2	1	0.02377	1	0.9	0	14	32	33	0
10-Apr-13	2305	2305	2	0	50	1	1	4	1	3	1	1	0	0.07798	0	0.9	0	14	42	43	0
10-Apr-13	2305	2305	2	0	51	1	1	3	3	3	1	1	1	0.10588	1	0.9	0	13	32	33	0
10-Apr-13	2305	2305	2	0	52	1	1	3	3	3	1	1	1	0.44826	1	0.9	0	13	32	33	0
10-Apr-13	2305	2305	2	0	53	1	1	4	1	3	1	2	1	0.03932	1	0.9	0	14	32	33	0
10-Apr-13	2305	2305	2	0	54	1	1	4	1	3	0	2	0	0.4857	1	0.9	0	14	34	49	0
10-Apr-13	2305	2305	2	0	55	1	1	1	4	1	1	2	0	0.18977	0	0.9	0	11	40	41	0
10-Apr-13	2305	2305	2	0	56	1	1	3	3	3	1	1	1	0.45805	1	0.9	0	13	32	33	0
10-Apr-13	2305	2305	2	0	57	1	1	6	6	3	1	1	0	0.15657	0	0.9	0	16	45	46	0
