Date 	 Name 	 ID 	 Gender 	 Appearance 	 Trial 	 Block 	 Bin 	 Condition 	 Category 	 Number 	 Valid 	 Keypress 	 Correct 	 RT 	 Realcorrect 	 Deadline 	 Timeout 	 Stimtrigger 	 Resptrigger 	 Fedtrigger 	 WithinTime 	 
07-May-2013	sub2337	2337	  2	  1	  1	  1	  1	  5	  3	  1	  0	  1	  0	2.30389	  1	0.60000	  1	 15	 37	 51	  0	
07-May-2013	sub2337	2337	  2	  1	  2	  1	  1	  2	  6	  1	  1	  1	  0	0.14864	  0	0.90000	  0	 12	 40	 41	  1	
07-May-2013	sub2337	2337	  2	  1	  3	  1	  1	  3	  1	  2	  1	  1	  1	0.63719	  1	0.90000	  0	 13	 32	 33	  0	
07-May-2013	sub2337	2337	  2	  1	  4	  1	  1	  6	  2	  3	  1	  2	  1	0.65964	  1	0.90000	  0	 16	 35	 36	  0	
07-May-2013	sub2337	2337	  2	  1	  5	  1	  1	  1	  4	  1	  1	  1	  1	0.66045	  1	0.90000	  0	 11	 30	 31	  0	
07-May-2013	sub2337	2337	  2	  1	  6	  1	  1	  5	  3	  1	  1	  1	  1	0.76872	  1	0.90000	  0	 15	 35	 36	  0	
07-May-2013	sub2337	2337	  2	  1	  7	  1	  1	  6	  2	  3	  1	  2	  1	0.65070	  1	0.90000	  0	 16	 35	 36	  0	
07-May-2013	sub2337	2337	  2	  1	  8	  1	  1	  6	  2	  3	  0	  1	  1	0.75057	  0	0.90000	  0	 16	 47	 38	  0	
07-May-2013	sub2337	2337	  2	  1	  9	  1	  1	  2	  6	  1	  1	  2	  1	0.59127	  1	0.90000	  0	 12	 30	 31	  0	
07-May-2013	sub2337	2337	  2	  1	 10	  1	  1	  2	  6	  1	  1	  1	  0	0.59865	  0	0.90000	  0	 12	 40	 41	  0	
07-May-2013	sub2337	2337	  2	  1	 11	  1	  1	  4	  5	  3	  1	  2	  1	0.70120	  1	0.90000	  0	 14	 32	 33	  0	
07-May-2013	sub2337	2337	  2	  1	 12	  1	  1	  2	  6	  1	  1	  1	  0	0.68387	  0	0.90000	  0	 12	 40	 41	  0	
07-May-2013	sub2337	2337	  2	  1	 13	  1	  1	  5	  3	  1	  1	  1	  1	0.90631	  1	0.90000	  1	 15	 35	 51	  0	
07-May-2013	sub2337	2337	  2	  1	 14	  1	  1	  3	  1	  2	  0	  2	  1	0.51936	  0	0.90000	  0	 13	 44	 39	  0	
