Date 	 Name 	 ID 	 Gender 	 Appearance 	 Trial 	 Block 	 Bin 	 Condition 	 Category 	 Number 	 Valid 	 Keypress 	 Correct 	 RT 	 Realcorrect 	 Deadline 	 Timeout 	 Stimtrigger 	 Resptrigger 	 Fedtrigger 	WithinTime
11-Apr-13	sub2308	2308	1	1	1	1	1	2	3	5	1	0	0	0	0	0.6	1	12	0	51	0
11-Apr-13	sub2308	2308	1	1	2	1	1	3	4	4	1	1	1	0.26337	1	0.9	0	13	32	33	0
11-Apr-13	sub2308	2308	1	1	3	1	1	4	6	5	1	1	0	0.48834	0	0.9	0	14	42	43	0
11-Apr-13	sub2308	2308	1	1	4	1	1	6	1	6	0	1	1	0.42096	0	0.9	0	16	47	38	0
11-Apr-13	sub2308	2308	1	1	5	1	1	6	1	6	0	1	1	0.3837	0	0.9	0	16	47	38	0
11-Apr-13	sub2308	2308	1	1	6	1	1	6	1	6	1	1	0	0.24482	0	0.9	0	16	45	46	0
11-Apr-13	sub2308	2308	1	1	7	1	1	1	5	5	1	1	1	0.44994	1	0.9	0	11	30	31	0
11-Apr-13	sub2308	2308	1	1	8	1	1	3	4	4	1	1	1	0.39988	1	0.9	0	13	32	33	0
11-Apr-13	sub2308	2308	1	1	9	1	1	6	1	6	1	1	0	0.45231	0	0.9	0	16	45	46	0
11-Apr-13	sub2308	2308	1	1	10	1	1	2	3	5	1	1	0	0.42532	0	0.9	0	12	40	41	0
11-Apr-13	sub2308	2308	1	1	11	1	1	1	5	5	1	2	0	0.06251	0	0.9	0	11	40	41	0
11-Apr-13	sub2308	2308	1	1	12	1	1	1	5	5	1	2	0	0.11077	0	0.9	0	11	40	41	0
11-Apr-13	sub2308	2308	1	1	13	1	1	2	3	5	1	1	0	0.47129	0	0.9	0	12	40	41	0
11-Apr-13	sub2308	2308	1	1	14	1	1	3	4	4	0	1	0	0.48655	1	0.9	0	13	34	49	0
11-Apr-13	sub2308	2308	1	1	15	1	1	1	5	5	1	1	1	0.29199	1	0.9	0	11	30	31	0
11-Apr-13	sub2308	2308	1	1	16	1	1	5	2	5	0	1	0	0.47731	1	0.8	0	15	37	48	0
11-Apr-13	sub2308	2308	1	1	17	1	1	4	6	5	1	1	0	0.09609	0	0.8	0	14	42	43	0
11-Apr-13	sub2308	2308	1	1	18	1	1	1	5	5	1	1	1	0.38993	1	0.7	0	11	30	31	0
11-Apr-13	sub2308	2308	1	1	19	1	1	5	2	5	1	1	1	0.0441	1	0.7	0	15	35	36	0
11-Apr-13	sub2308	2308	1	1	20	1	1	2	3	5	1	0	0	0	0	0.7	1	12	0	51	0
11-Apr-13	sub2308	2308	1	1	21	1	1	3	4	4	1	1	1	0.37827	1	0.9	0	13	32	33	0
11-Apr-13	sub2308	2308	1	1	22	1	1	2	3	5	1	1	0	0.38748	0	0.9	0	12	40	41	0
11-Apr-13	sub2308	2308	1	1	23	1	1	1	5	5	1	1	1	0.37145	1	0.9	0	11	30	31	0
11-Apr-13	sub2308	2308	1	1	24	1	1	5	2	5	1	1	1	0.34209	1	0.9	0	15	35	36	0
11-Apr-13	sub2308	2308	1	1	25	1	1	3	4	4	0	1	0	0.39988	1	0.9	0	13	34	49	0
11-Apr-13	sub2308	2308	1	1	26	1	1	4	6	5	0	1	1	0.45821	0	0.9	0	14	44	39	0
11-Apr-13	sub2308	2308	1	1	27	1	1	5	2	5	0	1	0	0.41581	1	0.9	0	15	37	48	0
11-Apr-13	sub2308	2308	1	1	28	1	1	6	1	6	0	1	1	0.07933	0	0.9	0	16	47	38	0
11-Apr-13	sub2308	2308	1	1	29	1	1	4	6	5	1	1	0	0.34338	0	0.9	0	14	42	43	0
11-Apr-13	sub2308	2308	1	1	30	1	1	4	6	5	1	1	0	0.47697	0	0.8	0	14	42	43	0
11-Apr-13	sub2308	2308	1	1	31	1	1	6	1	6	1	1	0	0.0684	0	0.8	0	16	45	46	0
11-Apr-13	sub2308	2308	1	1	32	1	1	5	2	5	1	1	1	0.45172	1	0.8	0	15	35	36	0
11-Apr-13	sub2308	2308	1	1	33	1	1	2	3	5	1	1	0	0.45357	0	0.8	0	12	40	41	0
