Date 	 Name 	 ID 	 Gender 	 Appearance 	 Trial 	 Block 	 Bin 	 Condition 	 Category 	 Number 	 Valid 	 Keypress 	 Correct 	 RT 	 Realcorrect 	 Deadline 	 Timeout 	 Stimtrigger 	 Resptrigger 	 Fedtrigger 	 WithinTime 	 
07-May-2013	sub2336	2336	  1	  0	  1	  1	  1	  6	  4	  6	  1	  1	  0	0.87066	  0	0.60000	  1	 16	 45	 51	  0	
07-May-2013	sub2336	2336	  1	  0	  2	  1	  1	  2	  1	  5	  1	  1	  0	0.49236	  0	0.90000	  0	 12	 40	 41	  1	
07-May-2013	sub2336	2336	  1	  0	  3	  1	  1	  1	  6	  3	  1	  2	  0	0.79946	  0	0.90000	  0	 11	 40	 41	  0	
07-May-2013	sub2336	2336	  1	  0	  4	  1	  1	  4	  3	  5	  1	  1	  0	0.71085	  0	0.90000	  0	 14	 42	 43	  0	
07-May-2013	sub2336	2336	  1	  0	  5	  1	  1	  2	  1	  5	  1	  1	  0	0.62092	  0	0.90000	  0	 12	 40	 41	  0	
07-May-2013	sub2336	2336	  1	  0	  6	  1	  1	  3	  2	  5	  1	  2	  0	0.85387	  0	0.90000	  0	 13	 42	 43	  0	
07-May-2013	sub2336	2336	  1	  0	  7	  1	  1	  6	  4	  6	  1	  2	  1	0.98921	  1	0.90000	  1	 16	 35	 51	  0	
07-May-2013	sub2336	2336	  1	  0	  8	  1	  1	  1	  6	  3	  1	  1	  1	0.95906	  1	0.90000	  1	 11	 30	 51	  0	
07-May-2013	sub2336	2336	  1	  0	  9	  1	  1	  2	  1	  5	  1	  2	  1	0.78433	  1	0.90000	  0	 12	 30	 31	  0	
07-May-2013	sub2336	2336	  1	  0	 10	  1	  1	  1	  6	  3	  1	  2	  0	0.80334	  0	0.90000	  0	 11	 40	 41	  0	
07-May-2013	sub2336	2336	  1	  0	 11	  1	  1	  3	  2	  5	  1	  2	  0	0.90732	  0	0.90000	  1	 13	 42	 51	  0	
07-May-2013	sub2336	2336	  1	  0	 12	  1	  1	  4	  3	  5	  1	  2	  1	0.69520	  1	0.90000	  0	 14	 32	 33	  0	
07-May-2013	sub2336	2336	  1	  0	 13	  1	  1	  1	  6	  3	  1	  2	  0	0.83210	  0	0.90000	  0	 11	 40	 41	  0	
07-May-2013	sub2336	2336	  1	  0	 14	  1	  1	  6	  4	  6	  0	  2	  0	0.81967	  1	0.90000	  0	 16	 37	 48	  0	
07-May-2013	sub2336	2336	  1	  0	 15	  1	  1	  1	  6	  3	  1	  2	  0	0.83076	  0	0.90000	  0	 11	 40	 41	  0	
07-May-2013	sub2336	2336	  1	  0	 16	  1	  1	  5	  5	  3	  1	  2	  0	0.77769	  0	0.90000	  0	 15	 45	 46	  0	
07-May-2013	sub2336	2336	  1	  0	 17	  1	  1	  5	  5	  3	  0	  1	  0	0.47945	  1	0.90000	  0	 15	 37	 48	  1	
07-May-2013	sub2336	2336	  1	  0	 18	  1	  1	  5	  5	  3	  1	  1	  1	0.57137	  1	0.90000	  0	 15	 35	 36	  0	
07-May-2013	sub2336	2336	  1	  0	 19	  1	  1	  2	  1	  5	  1	  1	  0	0.72916	  0	0.90000	  0	 12	 40	 41	  0	
07-May-2013	sub2336	2336	  1	  0	 20	  1	  1	  4	  3	  5	  1	  2	  1	0.71256	  1	0.90000	  0	 14	 32	 33	  0	
07-May-2013	sub2336	2336	  1	  0	 21	  1	  1	  5	  5	  3	  1	  1	  1	0.85479	  1	0.90000	  0	 15	 35	 36	  0	
07-May-2013	sub2336	2336	  1	  0	 22	  1	  1	  3	  2	  5	  1	  1	  1	0.83149	  1	0.90000	  0	 13	 32	 33	  0	
07-May-2013	sub2336	2336	  1	  0	 23	  1	  1	  6	  4	  6	  1	  1	  0	0.47492	  0	0.90000	  0	 16	 45	 46	  1	
07-May-2013	sub2336	2336	  1	  0	 24	  1	  1	  5	  5	  3	  0	  1	  0	0.67030	  1	0.90000	  0	 15	 37	 48	  0	
07-May-2013	sub2336	2336	  1	  0	 25	  1	  1	  3	  2	  5	  0	  1	  0	0.78649	  1	0.90000	  0	 13	 34	 49	  0	
07-May-2013	sub2336	2336	  1	  0	 26	  1	  1	  3	  2	  5	  1	  2	  0	0.46915	  0	0.90000	  0	 13	 42	 43	  1	
07-May-2013	sub2336	2336	  1	  0	 27	  1	  1	  1	  6	  3	  1	  1	  1	0.87758	  1	0.90000	  0	 11	 30	 31	  0	
07-May-2013	sub2336	2336	  1	  0	 28	  1	  1	  2	  1	  5	  1	  2	  1	0.70099	  1	0.90000	  0	 12	 30	 31	  0	
07-May-2013	sub2336	2336	  1	  0	 29	  1	  1	  6	  4	  6	  0	  1	  1	0.68092	  0	0.90000	  0	 16	 47	 38	  0	
07-May-2013	sub2336	2336	  1	  0	 30	  1	  1	  4	  3	  5	  1	  1	  0	0.83571	  0	0.90000	  0	 14	 42	 43	  0	
07-May-2013	sub2336	2336	  1	  0	 31	  1	  1	  6	  4	  6	  1	  1	  0	0.64707	  0	0.90000	  0	 16	 45	 46	  0	
07-May-2013	sub2336	2336	  1	  0	 32	  1	  1	  5	  5	  3	  1	  1	  1	0.77066	  1	0.90000	  0	 15	 35	 36	  0	
07-May-2013	sub2336	2336	  1	  0	 33	  1	  1	  3	  2	  5	  0	  1	  0	0.95853	  1	0.90000	  1	 13	 34	 51	  0	
07-May-2013	sub2336	2336	  1	  0	 34	  1	  1	  6	  4	  6	  0	  1	  1	0.62937	  0	0.90000	  0	 16	 47	 38	  0	
07-May-2013	sub2336	2336	  1	  0	 35	  1	  1	  4	  3	  5	  1	  1	  0	0.85244	  0	0.90000	  0	 14	 42	 43	  0	
07-May-2013	sub2336	2336	  1	  0	 36	  1	  1	  1	  6	  3	  1	  1	  1	1.15760	  1	0.90000	  1	 11	 30	 51	  0	
07-May-2013	sub2336	2336	  1	  0	 37	  1	  1	  3	  2	  5	  1	  2	  0	0.78865	  0	0.90000	  0	 13	 42	 43	  0	
07-May-2013	sub2336	2336	  1	  0	 38	  1	  1	  2	  1	  5	  1	  2	  1	0.80033	  1	0.90000	  0	 12	 30	 31	  0	
07-May-2013	sub2336	2336	  1	  0	 39	  1	  1	  5	  5	  3	  0	  1	  0	0.88137	  1	0.90000	  0	 15	 37	 48	  0	
07-May-2013	sub2336	2336	  1	  0	 40	  1	  1	  4	  3	  5	  1	  1	  0	0.96835	  0	0.90000	  1	 14	 42	 51	  0	
07-May-2013	sub2336	2336	  1	  0	 41	  1	  1	  4	  3	  5	  1	  1	  0	0.59714	  0	0.90000	  0	 14	 42	 43	  0	
07-May-2013	sub2336	2336	  1	  0	 42	  1	  1	  1	  6	  3	  1	  1	  1	1.11269	  1	0.90000	  1	 11	 30	 51	  0	
07-May-2013	sub2336	2336	  1	  0	 43	  1	  1	  6	  4	  6	  1	  1	  0	0.56493	  0	0.90000	  0	 16	 45	 46	  0	
