Date 	 Name 	 ID 	 Gender 	 Appearance 	 Trial 	 Block 	 Bin 	 Condition 	 Category 	 Number 	 Valid 	 Keypress 	 Correct 	 RT 	 Realcorrect 	 Deadline 	 Timeout 	 Stimtrigger 	 Resptrigger 	 Fedtrigger 	 WithinTime 	 
08-May-2013	sub2339	2339	  1	  0	  1	  1	  1	  5	  2	  5	  1	  1	  1	0.78041	  1	0.60000	  1	 15	 35	 51	  0	
08-May-2013	sub2339	2339	  1	  0	  2	  1	  1	  6	  3	  4	  1	  2	  1	0.37674	  1	0.90000	  0	 16	 35	 36	  1	
08-May-2013	sub2339	2339	  1	  0	  3	  1	  1	  4	  6	  6	  1	  2	  1	0.45082	  1	0.90000	  0	 14	 32	 33	  1	
08-May-2013	sub2339	2339	  1	  0	  4	  1	  1	  2	  1	  5	  1	  1	  0	0.58891	  0	0.90000	  0	 12	 40	 41	  0	
08-May-2013	sub2339	2339	  1	  0	  5	  1	  1	  4	  6	  6	  1	  2	  1	0.55334	  1	0.90000	  0	 14	 32	 33	  0	
08-May-2013	sub2339	2339	  1	  0	  6	  1	  1	  1	  4	  2	  1	  2	  0	0.61913	  0	0.90000	  0	 11	 40	 41	  0	
08-May-2013	sub2339	2339	  1	  0	  7	  1	  1	  3	  5	  2	  1	  1	  1	0.46483	  1	0.90000	  0	 13	 32	 33	  1	
08-May-2013	sub2339	2339	  1	  0	  8	  1	  1	  1	  4	  2	  1	  1	  1	0.51729	  1	0.90000	  0	 11	 30	 31	  0	
08-May-2013	sub2339	2339	  1	  0	  9	  1	  1	  1	  4	  2	  1	  1	  1	0.51630	  1	0.90000	  0	 11	 30	 31	  0	
08-May-2013	sub2339	2339	  1	  0	 10	  1	  1	  1	  4	  2	  1	  2	  0	0.37392	  0	0.90000	  0	 11	 40	 41	  1	
08-May-2013	sub2339	2339	  1	  0	 11	  1	  1	  6	  3	  4	  1	  1	  0	0.46147	  0	0.90000	  0	 16	 45	 46	  1	
08-May-2013	sub2339	2339	  1	  0	 12	  1	  1	  2	  1	  5	  1	  1	  0	0.52850	  0	0.90000	  0	 12	 40	 41	  0	
