Date 	 Name 	 ID 	 Gender 	 Appearance 	 Trial 	 Block 	 Bin 	 Condition 	 Category 	 Number 	 Valid 	 Keypress 	 Correct 	 RT 	 Realcorrect 	 Deadline 	 Timeout 	 Stimtrigger 	 Resptrigger 	 Fedtrigger 	 WithinTime 	 
07-May-2013	sub2338	2338	  1	  0	  1	  1	  1	  6	  3	  2	  1	  1	  0	0.97390	  0	0.60000	  1	 16	 45	 51	  0	
07-May-2013	sub2338	2338	  1	  0	  2	  1	  1	  5	  1	  3	  1	  1	  1	0.03869	  1	0.90000	  0	 15	 35	 36	  1	
07-May-2013	sub2338	2338	  1	  0	  3	  1	  1	  3	  6	  2	  1	  2	  0	0.49128	  0	0.90000	  0	 13	 42	 43	  1	
07-May-2013	sub2338	2338	  1	  0	  4	  1	  1	  4	  2	  3	  1	  1	  0	0.38649	  0	0.90000	  0	 14	 42	 43	  1	
07-May-2013	sub2338	2338	  1	  0	  5	  1	  1	  3	  6	  2	  1	  1	  1	1.13750	  1	0.90000	  1	 13	 32	 51	  0	
07-May-2013	sub2338	2338	  1	  0	  6	  1	  1	  1	  4	  3	  1	  2	  0	0.73364	  0	0.90000	  0	 11	 40	 41	  0	
07-May-2013	sub2338	2338	  1	  0	  7	  1	  1	  3	  6	  2	  1	  1	  1	0.86870	  1	0.90000	  0	 13	 32	 33	  0	
07-May-2013	sub2338	2338	  1	  0	  8	  1	  1	  2	  5	  3	  1	  2	  1	0.73605	  1	0.90000	  0	 12	 30	 31	  0	
07-May-2013	sub2338	2338	  1	  0	  9	  1	  1	  4	  2	  3	  0	  1	  1	0.71870	  0	0.90000	  0	 14	 44	 39	  0	
07-May-2013	sub2338	2338	  1	  0	 10	  1	  1	  2	  5	  3	  1	  2	  1	0.70088	  1	0.90000	  0	 12	 30	 31	  0	
07-May-2013	sub2338	2338	  1	  0	 11	  1	  1	  6	  3	  2	  1	  1	  0	0.60837	  0	0.90000	  0	 16	 45	 46	  0	
07-May-2013	sub2338	2338	  1	  0	 12	  1	  1	  1	  4	  3	  1	  2	  0	0.52973	  0	0.90000	  0	 11	 40	 41	  0	
07-May-2013	sub2338	2338	  1	  0	 13	  1	  1	  5	  1	  3	  0	  1	  0	0.86342	  1	0.90000	  0	 15	 37	 48	  0	
07-May-2013	sub2338	2338	  1	  0	 14	  1	  1	  5	  1	  3	  0	  1	  0	0.65359	  1	0.90000	  0	 15	 37	 48	  0	
07-May-2013	sub2338	2338	  1	  0	 15	  1	  1	  3	  6	  2	  1	  2	  0	0.50904	  0	0.90000	  0	 13	 42	 43	  0	
07-May-2013	sub2338	2338	  1	  0	 16	  1	  1	  4	  2	  3	  0	  1	  1	0.71349	  0	0.90000	  0	 14	 44	 39	  0	
07-May-2013	sub2338	2338	  1	  0	 17	  1	  1	  4	  2	  3	  1	  1	  0	0.59413	  0	0.90000	  0	 14	 42	 43	  0	
07-May-2013	sub2338	2338	  1	  0	 18	  1	  1	  2	  5	  3	  1	  1	  0	0.71851	  0	0.90000	  0	 12	 40	 41	  0	
07-May-2013	sub2338	2338	  1	  0	 19	  1	  1	  4	  2	  3	  1	  1	  0	0.72769	  0	0.90000	  0	 14	 42	 43	  0	
07-May-2013	sub2338	2338	  1	  0	 20	  1	  1	  2	  5	  3	  1	  2	  1	0.45693	  1	0.90000	  0	 12	 30	 31	  1	
07-May-2013	sub2338	2338	  1	  0	 21	  1	  1	  5	  1	  3	  1	  2	  0	0.70174	  0	0.90000	  0	 15	 45	 46	  0	
07-May-2013	sub2338	2338	  1	  0	 22	  1	  1	  5	  1	  3	  1	  2	  0	0.49838	  0	0.90000	  0	 15	 45	 46	  1	
07-May-2013	sub2338	2338	  1	  0	 23	  1	  1	  6	  3	  2	  0	  1	  1	0.45477	  0	0.90000	  0	 16	 47	 38	  1	
07-May-2013	sub2338	2338	  1	  0	 24	  1	  1	  6	  3	  2	  0	  1	  1	0.45220	  0	0.90000	  0	 16	 47	 38	  1	
07-May-2013	sub2338	2338	  1	  0	 25	  1	  1	  6	  3	  2	  0	  1	  1	0.98522	  0	0.90000	  1	 16	 47	 51	  0	
07-May-2013	sub2338	2338	  1	  0	 26	  1	  1	  1	  4	  3	  1	  2	  0	0.56224	  0	0.90000	  0	 11	 40	 41	  0	
07-May-2013	sub2338	2338	  1	  0	 27	  1	  1	  1	  4	  3	  1	  1	  1	0.61846	  1	0.90000	  0	 11	 30	 31	  0	
07-May-2013	sub2338	2338	  1	  0	 28	  1	  1	  2	  5	  3	  1	  1	  0	0.46787	  0	0.90000	  0	 12	 40	 41	  1	
07-May-2013	sub2338	2338	  1	  0	 29	  1	  1	  2	  5	  3	  1	  2	  1	0.57691	  1	0.90000	  0	 12	 30	 31	  0	
07-May-2013	sub2338	2338	  1	  0	 30	  1	  1	  6	  3	  2	  0	  1	  1	0.49149	  0	0.90000	  0	 16	 47	 38	  1	
07-May-2013	sub2338	2338	  1	  0	 31	  1	  1	  2	  5	  3	  1	  2	  1	0.53346	  1	0.90000	  0	 12	 30	 31	  0	
07-May-2013	sub2338	2338	  1	  0	 32	  1	  1	  5	  1	  3	  0	  1	  0	0.63912	  1	0.90000	  0	 15	 37	 48	  0	
07-May-2013	sub2338	2338	  1	  0	 33	  1	  1	  6	  3	  2	  1	  1	  0	0.48082	  0	0.90000	  0	 16	 45	 46	  1	
07-May-2013	sub2338	2338	  1	  0	 34	  1	  1	  5	  1	  3	  0	  2	  1	0.58618	  0	0.90000	  0	 15	 47	 38	  0	
07-May-2013	sub2338	2338	  1	  0	 35	  1	  1	  1	  4	  3	  1	  2	  0	0.65783	  0	0.90000	  0	 11	 40	 41	  0	
07-May-2013	sub2338	2338	  1	  0	 36	  1	  1	  5	  1	  3	  0	  1	  0	0.59594	  1	0.90000	  0	 15	 37	 48	  0	
07-May-2013	sub2338	2338	  1	  0	 37	  1	  1	  2	  5	  3	  1	  2	  1	0.49844	  1	0.90000	  0	 12	 30	 31	  1	
07-May-2013	sub2338	2338	  1	  0	 38	  1	  1	  1	  4	  3	  1	  1	  1	0.66308	  1	0.90000	  0	 11	 30	 31	  0	
07-May-2013	sub2338	2338	  1	  0	 39	  1	  1	  5	  1	  3	  1	  1	  1	0.57915	  1	0.90000	  0	 15	 35	 36	  0	
07-May-2013	sub2338	2338	  1	  0	 40	  1	  1	  3	  6	  2	  0	  2	  1	0.59145	  0	0.90000	  0	 13	 44	 39	  0	
07-May-2013	sub2338	2338	  1	  0	 41	  1	  1	  6	  3	  2	  1	  1	  0	0.61585	  0	0.90000	  0	 16	 45	 46	  0	
07-May-2013	sub2338	2338	  1	  0	 42	  1	  1	  6	  3	  2	  1	  1	  0	0.40760	  0	0.90000	  0	 16	 45	 46	  1	
07-May-2013	sub2338	2338	  1	  0	 43	  1	  1	  4	  2	  3	  1	  1	  0	0.69810	  0	0.90000	  0	 14	 42	 43	  0	
07-May-2013	sub2338	2338	  1	  0	 44	  1	  1	  3	  6	  2	  0	  1	  0	0.73397	  1	0.80000	  0	 13	 34	 49	  0	
07-May-2013	sub2338	2338	  1	  0	 45	  1	  1	  6	  3	  2	  1	  2	  1	0.66391	  1	0.80000	  0	 16	 35	 36	  0	
07-May-2013	sub2338	2338	  1	  0	 46	  1	  1	  4	  2	  3	  1	  2	  1	0.71310	  1	0.80000	  0	 14	 32	 33	  0	
07-May-2013	sub2338	2338	  1	  0	 47	  1	  1	  4	  2	  3	  1	  2	  1	0.44443	  1	0.80000	  0	 14	 32	 33	  1	
07-May-2013	sub2338	2338	  1	  0	 48	  1	  1	  4	  2	  3	  1	  2	  1	0.43227	  1	0.80000	  0	 14	 32	 33	  1	
07-May-2013	sub2338	2338	  1	  0	 49	  1	  1	  3	  6	  2	  1	  2	  0	0.58515	  0	0.80000	  0	 13	 42	 43	  0	
07-May-2013	sub2338	2338	  1	  0	 50	  1	  1	  3	  6	  2	  1	  1	  1	0.45755	  1	0.80000	  0	 13	 32	 33	  1	
07-May-2013	sub2338	2338	  1	  0	 51	  1	  1	  6	  3	  2	  0	  1	  1	0.65401	  0	0.70000	  0	 16	 47	 38	  0	
07-May-2013	sub2338	2338	  1	  0	 52	  1	  1	  1	  4	  3	  1	  2	  0	0.79767	  0	0.70000	  1	 11	 40	 51	  0	
07-May-2013	sub2338	2338	  1	  0	 53	  1	  1	  5	  1	  3	  0	  2	  1	0.79232	  0	0.90000	  0	 15	 47	 38	  0	
07-May-2013	sub2338	2338	  1	  0	 54	  1	  1	  1	  4	  3	  1	  1	  1	0.69422	  1	0.90000	  0	 11	 30	 31	  0	
07-May-2013	sub2338	2338	  1	  0	 55	  1	  1	  4	  2	  3	  1	  1	  0	0.72568	  0	0.90000	  0	 14	 42	 43	  0	
07-May-2013	sub2338	2338	  1	  0	 56	  1	  1	  6	  3	  2	  0	  2	  0	0.58064	  1	0.90000	  0	 16	 37	 48	  0	
07-May-2013	sub2338	2338	  1	  0	 57	  1	  1	  1	  4	  3	  1	  1	  1	0.65015	  1	0.90000	  0	 11	 30	 31	  0	
07-May-2013	sub2338	2338	  1	  0	 58	  1	  1	  1	  4	  3	  1	  1	  1	0.51322	  1	0.90000	  0	 11	 30	 31	  0	
07-May-2013	sub2338	2338	  1	  0	 59	  1	  1	  5	  1	  3	  1	  2	  0	0.76780	  0	0.80000	  0	 15	 45	 46	  0	
07-May-2013	sub2338	2338	  1	  0	 60	  1	  1	  4	  2	  3	  1	  1	  0	0.35584	  0	0.80000	  0	 14	 42	 43	  1	
07-May-2013	sub2338	2338	  1	  0	 61	  1	  1	  6	  3	  2	  0	  1	  1	0.48607	  0	0.80000	  0	 16	 47	 38	  1	
