Date 	 Name 	 ID 	 Gender 	 Appearance 	 Trial 	 Block 	 Bin 	 Condition 	 Category 	 Number 	 Valid 	 Keypress 	 Correct 	 RT 	 Realcorrect 	 Deadline 	 Timeout 	 Stimtrigger 	 Resptrigger 	 Fedtrigger 	WithinTime
11-Apr-13	sub2307	2307	2	0	1	1	1	4	2	5	1	0	0	0	0	0.6	1	14	0	51	0
11-Apr-13	sub2307	2307	2	0	2	1	1	2	3	5	1	0	0	0	0	0.9	1	12	0	51	0
11-Apr-13	sub2307	2307	2	0	3	1	1	3	5	1	1	0	0	0	0	0.9	1	13	0	51	0
11-Apr-13	sub2307	2307	2	0	4	1	1	3	5	1	1	0	0	0	0	0.9	1	13	0	51	0
11-Apr-13	sub2307	2307	2	0	5	1	1	3	5	1	1	2	0	0.14146	0	0.9	0	13	42	43	0
11-Apr-13	sub2307	2307	2	0	6	1	1	5	4	4	0	1	0	0.15222	1	0.9	0	15	37	48	0
11-Apr-13	sub2307	2307	2	0	7	1	1	6	6	1	0	1	1	0.49027	0	0.9	0	16	47	38	0
11-Apr-13	sub2307	2307	2	0	8	1	1	2	3	5	1	1	0	0.07077	0	0.9	0	12	40	41	0
11-Apr-13	sub2307	2307	2	0	9	1	1	3	5	1	1	1	1	0.09566	1	0.9	0	13	32	33	0
11-Apr-13	sub2307	2307	2	0	10	1	1	6	6	1	1	2	1	0.36757	1	0.9	0	16	35	36	0
11-Apr-13	sub2307	2307	2	0	11	1	1	1	1	5	1	1	1	0.13348	1	0.9	0	11	30	31	0
11-Apr-13	sub2307	2307	2	0	12	1	1	1	1	5	1	1	1	0.4626	1	0.9	0	11	30	31	0
11-Apr-13	sub2307	2307	2	0	13	1	1	6	6	1	1	2	1	0.4466	1	0.9	0	16	35	36	0
11-Apr-13	sub2307	2307	2	0	14	1	1	5	4	4	1	1	1	0.03942	1	0.9	0	15	35	36	0
11-Apr-13	sub2307	2307	2	0	15	1	1	6	6	1	0	2	0	0.03229	1	0.9	0	16	37	48	0
11-Apr-13	sub2307	2307	2	0	16	1	1	6	6	1	0	1	1	0.47624	0	0.9	0	16	47	38	0
11-Apr-13	sub2307	2307	2	0	17	1	1	5	4	4	1	2	0	0.1525	0	0.9	0	15	45	46	0
11-Apr-13	sub2307	2307	2	0	18	1	1	5	4	4	0	1	0	0.11293	1	0.9	0	15	37	48	0
11-Apr-13	sub2307	2307	2	0	19	1	1	6	6	1	1	1	0	0.06752	0	0.9	0	16	45	46	0
11-Apr-13	sub2307	2307	2	0	20	1	1	1	1	5	1	2	0	0.04106	0	0.9	0	11	40	41	0
11-Apr-13	sub2307	2307	2	0	21	1	1	6	6	1	0	2	0	0.03767	1	0.9	0	16	37	48	0
11-Apr-13	sub2307	2307	2	0	22	1	1	1	1	5	1	1	1	0.54241	1	0.9	0	11	30	31	0
11-Apr-13	sub2307	2307	2	0	23	1	1	2	3	5	1	1	0	0.4433	0	0.9	0	12	40	41	0
11-Apr-13	sub2307	2307	2	0	24	1	1	4	2	5	1	2	1	0.46587	1	0.9	0	14	32	33	0
11-Apr-13	sub2307	2307	2	0	25	1	1	3	5	1	0	1	0	0.25917	1	0.9	0	13	34	49	0
11-Apr-13	sub2307	2307	2	0	26	1	1	1	1	5	1	1	1	0.08682	1	0.9	0	11	30	31	0
11-Apr-13	sub2307	2307	2	0	27	1	1	4	2	5	1	1	0	0.14982	0	0.9	0	14	42	43	0
11-Apr-13	sub2307	2307	2	0	28	1	1	5	4	4	0	1	0	0.07262	1	0.9	0	15	37	48	0
11-Apr-13	sub2307	2307	2	0	29	1	1	3	5	1	1	2	0	0.15585	0	0.9	0	13	42	43	0
11-Apr-13	sub2307	2307	2	0	30	1	1	4	2	5	1	1	0	0.07946	0	0.9	0	14	42	43	0
11-Apr-13	sub2307	2307	2	0	31	1	1	2	3	5	1	1	0	0.09442	0	0.9	0	12	40	41	0
