Date 	 Name 	 ID 	 Gender 	 Appearance 	 Trial 	 Block 	 Bin 	 Condition 	 Category 	 Number 	 Valid 	 Keypress 	 Correct 	 RT 	 Realcorrect 	 Deadline 	 Timeout 	 Stimtrigger 	 Resptrigger 	 Fedtrigger 	 WithinTime 	 
05-May-2013	sub2333	2333	  2	  0	  1	  1	  1	  6	  2	  1	  0	  1	  1	1.00717	  0	0.60000	  1	 16	 47	 51	  0	
05-May-2013	sub2333	2333	  2	  0	  2	  1	  1	  5	  3	  3	  1	  1	  1	0.24380	  1	0.90000	  0	 15	 35	 36	  1	
05-May-2013	sub2333	2333	  2	  0	  3	  1	  1	  5	  3	  3	  0	  1	  0	0.74653	  1	0.90000	  0	 15	 37	 48	  0	
05-May-2013	sub2333	2333	  2	  0	  4	  1	  1	  4	  4	  3	  1	  1	  0	1.18090	  0	0.90000	  1	 14	 42	 51	  0	
05-May-2013	sub2333	2333	  2	  0	  5	  1	  1	  1	  5	  2	  1	  1	  1	0.20688	  1	0.90000	  0	 11	 30	 31	  1	
05-May-2013	sub2333	2333	  2	  0	  6	  1	  1	  5	  3	  3	  0	  1	  0	0.24698	  1	0.90000	  0	 15	 37	 48	  1	
05-May-2013	sub2333	2333	  2	  0	  7	  1	  1	  5	  3	  3	  0	  2	  1	0.67092	  0	0.90000	  0	 15	 47	 38	  0	
05-May-2013	sub2333	2333	  2	  0	  8	  1	  1	  3	  6	  4	  0	  1	  0	0.96679	  1	0.90000	  1	 13	 34	 51	  0	
05-May-2013	sub2333	2333	  2	  0	  9	  1	  1	  3	  6	  4	  1	  1	  1	0.37148	  1	0.90000	  0	 13	 32	 33	  1	
05-May-2013	sub2333	2333	  2	  0	 10	  1	  1	  6	  2	  1	  1	  1	  0	0.74929	  0	0.90000	  0	 16	 45	 46	  0	
05-May-2013	sub2333	2333	  2	  0	 11	  1	  1	  4	  4	  3	  1	  2	  1	0.74274	  1	0.90000	  0	 14	 32	 33	  0	
05-May-2013	sub2333	2333	  2	  0	 12	  1	  1	  4	  4	  3	  1	  2	  1	0.45843	  1	0.90000	  0	 14	 32	 33	  1	
05-May-2013	sub2333	2333	  2	  0	 13	  1	  1	  1	  5	  2	  1	  1	  1	0.73205	  1	0.90000	  0	 11	 30	 31	  0	
05-May-2013	sub2333	2333	  2	  0	 14	  1	  1	  3	  6	  4	  0	  1	  0	0.50429	  1	0.90000	  0	 13	 34	 49	  0	
05-May-2013	sub2333	2333	  2	  0	 15	  1	  1	  3	  6	  4	  0	  2	  1	0.39153	  0	0.90000	  0	 13	 44	 39	  1	
