Date 	 Name 	 ID 	 Gender 	 Appearance 	 Trial 	 Block 	 Bin 	 Condition 	 Category 	 Number 	 Valid 	 Keypress 	 Correct 	 RT 	 Realcorrect 	 Deadline 	 Timeout 	 Stimtrigger 	 Resptrigger 	 Fedtrigger 	WithinTime
9-Apr-13	sub2304	2304	1	0	46	1	1	5	4	2	1	1	1	0.02797	1	0.6	0	15	35	36	0
9-Apr-13	sub2304	2304	1	0	47	1	1	5	4	2	1	1	1	0.078	1	0.6	0	15	35	36	0
9-Apr-13	sub2304	2304	1	0	48	1	1	2	6	1	1	1	0	0.14638	0	0.6	0	12	40	41	0
9-Apr-13	sub2304	2304	1	0	49	1	1	1	2	1	1	1	1	0.06927	1	0.6	0	11	30	31	0
9-Apr-13	sub2304	2304	1	0	50	1	1	6	3	3	1	2	1	0.1201	1	0.6	0	16	35	36	0
9-Apr-13	sub2304	2304	1	0	51	1	1	5	4	2	1	1	1	0.44582	1	0.5	0	15	35	36	0
9-Apr-13	sub2304	2304	1	0	52	1	1	1	2	1	1	2	0	0.45484	0	0.5	0	11	40	41	0
9-Apr-13	sub2304	2304	1	0	53	1	1	2	6	1	1	1	0	0.36768	0	0.5	0	12	40	41	0
9-Apr-13	sub2304	2304	1	0	54	1	1	1	2	1	1	1	1	0.08105	1	0.5	0	11	30	31	0
9-Apr-13	sub2304	2304	1	0	55	1	1	5	4	2	1	2	0	0.14696	0	0.5	0	15	45	46	0
9-Apr-13	sub2304	2304	1	0	56	1	1	6	3	3	0	1	1	0.05969	0	0.5	0	16	47	38	0
9-Apr-13	sub2304	2304	1	0	57	1	1	6	3	3	0	2	0	0.46458	1	0.5	0	16	37	48	0
9-Apr-13	sub2304	2304	1	0	58	1	1	4	5	2	1	1	0	0.39808	0	0.5	0	14	42	43	0
9-Apr-13	sub2304	2304	1	0	59	1	1	4	5	2	1	2	1	0.41899	1	0.5	0	14	32	33	0
9-Apr-13	sub2304	2304	1	0	60	1	1	4	5	2	1	2	1	0.41129	1	0.5	0	14	32	33	0
9-Apr-13	sub2304	2304	1	0	61	1	1	3	1	1	1	1	1	0.16894	1	0.5	0	13	32	33	0
9-Apr-13	sub2304	2304	1	0	62	1	1	6	3	3	1	2	1	0.09056	1	0.5	0	16	35	36	0
9-Apr-13	sub2304	2304	1	0	63	1	1	4	5	2	1	1	0	0.17671	0	0.5	0	14	42	43	0
9-Apr-13	sub2304	2304	1	0	64	1	1	1	2	1	1	1	1	0.17918	1	0.5	0	11	30	31	0
9-Apr-13	sub2304	2304	1	0	65	1	1	6	3	3	0	2	0	0.42189	1	0.5	0	16	37	48	0
9-Apr-13	sub2304	2304	1	0	66	1	1	6	3	3	1	1	0	0.31517	0	0.5	0	16	45	46	0
9-Apr-13	sub2304	2304	1	0	67	1	1	6	3	3	0	2	0	0.3799	1	0.5	0	16	37	48	0
9-Apr-13	sub2304	2304	1	0	68	1	1	5	4	2	0	1	0	0.39527	1	0.4	0	15	37	48	0
9-Apr-13	sub2304	2304	1	0	69	1	1	4	5	2	0	2	0	0.44562	1	0.4	1	14	34	51	0
9-Apr-13	sub2304	2304	1	0	70	1	1	5	4	2	0	1	0	0.25874	1	0.6	0	15	37	48	0
9-Apr-13	sub2304	2304	1	0	71	1	1	1	2	1	1	2	0	0.43509	0	0.6	0	11	40	41	0
9-Apr-13	sub2304	2304	1	0	72	1	1	6	3	3	0	1	1	0.46626	0	0.6	0	16	47	38	0
9-Apr-13	sub2304	2304	1	0	73	1	1	3	1	1	1	1	1	0.45799	1	0.6	0	13	32	33	0
9-Apr-13	sub2304	2304	1	0	74	1	1	4	5	2	1	1	0	0.07696	0	0.6	0	14	42	43	0
9-Apr-13	sub2304	2304	1	0	75	1	1	3	1	1	1	2	0	0.15643	0	0.6	0	13	42	43	0
9-Apr-13	sub2304	2304	1	0	1	2	1	1	6	4	1	0	0	0	0	0.6	1	11	0	51	0
9-Apr-13	sub2304	2304	1	0	2	2	1	5	4	1	0	1	0	0.09528	1	0.9	0	15	37	48	0
9-Apr-13	sub2304	2304	1	0	3	2	1	1	6	4	1	1	1	0.13305	1	0.9	0	11	30	31	0
9-Apr-13	sub2304	2304	1	0	4	2	1	5	4	1	1	2	0	0.05768	0	0.9	0	15	45	46	0
9-Apr-13	sub2304	2304	1	0	5	2	1	5	4	1	0	1	0	0.01403	1	0.9	0	15	37	48	0
9-Apr-13	sub2304	2304	1	0	6	2	1	6	1	4	1	1	0	0.48857	0	0.9	0	16	45	46	0
9-Apr-13	sub2304	2304	1	0	7	2	1	3	3	5	1	2	0	0.02761	0	0.9	0	13	42	43	0
9-Apr-13	sub2304	2304	1	0	8	2	1	6	1	4	0	1	1	0.0183	0	0.9	0	16	47	38	0
9-Apr-13	sub2304	2304	1	0	9	2	1	2	2	4	1	1	0	0.19946	0	0.9	0	12	40	41	0
9-Apr-13	sub2304	2304	1	0	10	2	1	5	4	1	0	2	1	0.01508	0	0.9	0	15	47	38	0
9-Apr-13	sub2304	2304	1	0	11	2	1	4	5	1	1	1	0	0.01694	0	0.9	0	14	42	43	0
9-Apr-13	sub2304	2304	1	0	12	2	1	1	6	4	1	1	1	0.18518	1	0.9	0	11	30	31	0
9-Apr-13	sub2304	2304	1	0	13	2	1	6	1	4	1	2	1	0.44779	1	0.9	0	16	35	36	0
9-Apr-13	sub2304	2304	1	0	14	2	1	1	6	4	1	1	1	0.32669	1	0.9	0	11	30	31	0
9-Apr-13	sub2304	2304	1	0	15	2	1	6	1	4	1	2	1	0.02329	1	0.9	0	16	35	36	0
9-Apr-13	sub2304	2304	1	0	16	2	1	6	1	4	0	1	1	0.06646	0	0.8	0	16	47	38	0
9-Apr-13	sub2304	2304	1	0	17	2	1	1	6	4	1	1	1	0.42393	1	0.8	0	11	30	31	0
9-Apr-13	sub2304	2304	1	0	18	2	1	6	1	4	0	2	0	0.06602	1	0.7	0	16	37	48	0
9-Apr-13	sub2304	2304	1	0	19	2	1	4	5	1	1	1	0	0.05341	0	0.7	0	14	42	43	0
9-Apr-13	sub2304	2304	1	0	20	2	1	1	6	4	1	1	1	0.49415	1	0.7	0	11	30	31	0
9-Apr-13	sub2304	2304	1	0	21	2	1	4	5	1	1	1	0	0.13059	0	0.6	0	14	42	43	0
9-Apr-13	sub2304	2304	1	0	22	2	1	2	2	4	1	1	0	0.00966	0	0.6	0	12	40	41	0
9-Apr-13	sub2304	2304	1	0	23	2	1	3	3	5	1	2	0	0.04273	0	0.6	0	13	42	43	0
9-Apr-13	sub2304	2304	1	0	24	2	1	5	4	1	0	1	0	0.12398	1	0.6	0	15	37	48	0
9-Apr-13	sub2304	2304	1	0	25	2	1	6	1	4	0	1	1	0.0523	0	0.6	0	16	47	38	0
9-Apr-13	sub2304	2304	1	0	26	2	1	5	4	1	1	2	0	0.42723	0	0.5	0	15	45	46	0
9-Apr-13	sub2304	2304	1	0	27	2	1	1	6	4	1	1	1	0.40291	1	0.5	0	11	30	31	0
9-Apr-13	sub2304	2304	1	0	28	2	1	2	2	4	1	2	1	0.08222	1	0.5	0	12	30	31	0
9-Apr-13	sub2304	2304	1	0	29	2	1	5	4	1	1	1	1	0.1499	1	0.5	0	15	35	36	0
9-Apr-13	sub2304	2304	1	0	30	2	1	2	2	4	1	2	1	0.42242	1	0.5	0	12	30	31	0
9-Apr-13	sub2304	2304	1	0	31	2	1	6	1	4	1	1	0	0.43119	0	0.5	0	16	45	46	0
9-Apr-13	sub2304	2304	1	0	32	2	1	1	6	4	1	1	1	0.0547	1	0.5	0	11	30	31	0
9-Apr-13	sub2304	2304	1	0	33	2	1	6	1	4	1	2	1	0.01307	1	0.5	0	16	35	36	0
9-Apr-13	sub2304	2304	1	0	34	2	1	4	5	1	0	1	1	0.47454	0	0.5	0	14	44	39	0
9-Apr-13	sub2304	2304	1	0	35	2	1	6	1	4	1	2	1	0.35237	1	0.4	0	16	35	36	0
