Date 	 Name 	 ID 	 Gender 	 Appearance 	 Trial 	 Block 	 Bin 	 Condition 	 Category 	 Number 	 Valid 	 Keypress 	 Correct 	 RT 	 Realcorrect 	 Deadline 	 Timeout 	 Stimtrigger 	 Resptrigger 	 Fedtrigger 	 WithinTime 	 
09-May-2013	sub2342	2342	  2	  1	  1	  1	  1	  6	  4	  2	  0	  1	  1	16.31445	  0	0.60000	  1	 16	 47	 51	  0	
09-May-2013	sub2342	2342	  2	  1	  2	  1	  1	  1	  1	  3	  1	  1	  1	0.84830	  1	0.90000	  0	 11	 30	 31	  0	
09-May-2013	sub2342	2342	  2	  1	  3	  1	  1	  5	  6	  5	  1	  1	  1	3.84932	  1	0.90000	  1	 15	 35	 51	  0	
09-May-2013	sub2342	2342	  2	  1	  4	  1	  1	  1	  1	  3	  1	  2	  0	1.30398	  0	0.90000	  1	 11	 40	 51	  0	
09-May-2013	sub2342	2342	  2	  1	  5	  1	  1	  6	  4	  2	  1	  1	  0	0.70662	  0	0.90000	  0	 16	 45	 46	  0	
09-May-2013	sub2342	2342	  2	  1	  6	  1	  1	  5	  6	  5	  0	  2	  1	1.54661	  0	0.90000	  1	 15	 47	 51	  0	
09-May-2013	sub2342	2342	  2	  1	  7	  1	  1	  4	  3	  6	  1	  2	  1	2.47074	  1	0.90000	  1	 14	 32	 51	  0	
09-May-2013	sub2342	2342	  2	  1	  8	  1	  1	  4	  3	  6	  1	  2	  1	2.35817	  1	0.90000	  1	 14	 32	 51	  0	
09-May-2013	sub2342	2342	  2	  1	  9	  1	  1	  6	  4	  2	  0	  2	  0	1.08766	  1	0.90000	  1	 16	 37	 51	  0	
09-May-2013	sub2342	2342	  2	  1	 10	  1	  1	  1	  1	  3	  1	  2	  0	1.51532	  0	0.90000	  1	 11	 40	 51	  0	
09-May-2013	sub2342	2342	  2	  1	 11	  1	  1	  2	  5	  2	  1	  2	  1	0.95717	  1	0.90000	  1	 12	 30	 51	  0	
09-May-2013	sub2342	2342	  2	  1	 12	  1	  1	  2	  5	  2	  1	  2	  1	1.81252	  1	0.90000	  1	 12	 30	 51	  0	
09-May-2013	sub2342	2342	  2	  1	 13	  1	  1	  6	  4	  2	  0	  2	  0	0.37083	  1	0.90000	  0	 16	 37	 48	  1	
09-May-2013	sub2342	2342	  2	  1	 14	  1	  1	  6	  4	  2	  0	  1	  1	0.69402	  0	0.90000	  0	 16	 47	 38	  0	
09-May-2013	sub2342	2342	  2	  1	 15	  1	  1	  5	  6	  5	  1	  2	  0	0.52284	  0	0.90000	  0	 15	 45	 46	  0	
09-May-2013	sub2342	2342	  2	  1	 16	  1	  1	  3	  2	  3	  1	  2	  0	0.99664	  0	0.90000	  1	 13	 42	 51	  0	
09-May-2013	sub2342	2342	  2	  1	 17	  1	  1	  5	  6	  5	  1	  1	  1	0.52736	  1	0.90000	  0	 15	 35	 36	  0	
09-May-2013	sub2342	2342	  2	  1	 18	  1	  1	  1	  1	  3	  1	  2	  0	0.68623	  0	0.90000	  0	 11	 40	 41	  0	
09-May-2013	sub2342	2342	  2	  1	 19	  1	  1	  4	  3	  6	  1	  2	  1	1.04692	  1	0.90000	  1	 14	 32	 51	  0	
09-May-2013	sub2342	2342	  2	  1	 20	  1	  1	  5	  6	  5	  0	  1	  0	0.62932	  1	0.90000	  0	 15	 37	 48	  0	
09-May-2013	sub2342	2342	  2	  1	 21	  1	  1	  3	  2	  3	  0	  2	  1	0.57797	  0	0.90000	  0	 13	 44	 39	  0	
09-May-2013	sub2342	2342	  2	  1	 22	  1	  1	  6	  4	  2	  1	  1	  0	0.91148	  0	0.90000	  1	 16	 45	 51	  0	
09-May-2013	sub2342	2342	  2	  1	 23	  1	  1	  4	  3	  6	  1	  2	  1	0.60982	  1	0.90000	  0	 14	 32	 33	  0	
09-May-2013	sub2342	2342	  2	  1	 24	  1	  1	  3	  2	  3	  0	  2	  1	0.49147	  0	0.90000	  0	 13	 44	 39	  1	
09-May-2013	sub2342	2342	  2	  1	 25	  1	  1	  3	  2	  3	  0	  2	  1	0.69929	  0	0.90000	  0	 13	 44	 39	  0	
09-May-2013	sub2342	2342	  2	  1	 26	  1	  1	  1	  1	  3	  1	  2	  0	0.39750	  0	0.90000	  0	 11	 40	 41	  1	
09-May-2013	sub2342	2342	  2	  1	 27	  1	  1	  3	  2	  3	  1	  2	  0	0.75011	  0	0.90000	  0	 13	 42	 43	  0	
09-May-2013	sub2342	2342	  2	  1	 28	  1	  1	  4	  3	  6	  1	  2	  1	0.57175	  1	0.90000	  0	 14	 32	 33	  0	
09-May-2013	sub2342	2342	  2	  1	 29	  1	  1	  6	  4	  2	  1	  1	  0	0.59619	  0	0.90000	  0	 16	 45	 46	  0	
09-May-2013	sub2342	2342	  2	  1	 30	  1	  1	  2	  5	  2	  1	  2	  1	0.79448	  1	0.90000	  0	 12	 30	 31	  0	
09-May-2013	sub2342	2342	  2	  1	 31	  1	  1	  4	  3	  6	  1	  2	  1	0.72673	  1	0.90000	  0	 14	 32	 33	  0	
09-May-2013	sub2342	2342	  2	  1	 32	  1	  1	  3	  2	  3	  1	  2	  0	0.50955	  0	0.90000	  0	 13	 42	 43	  0	
09-May-2013	sub2342	2342	  2	  1	 33	  1	  1	  4	  3	  6	  0	  1	  1	0.19419	  0	0.90000	  0	 14	 44	 39	  1	
09-May-2013	sub2342	2342	  2	  1	 34	  1	  1	  3	  2	  3	  1	  2	  0	0.92821	  0	0.90000	  1	 13	 42	 51	  0	
