Date 	 Name 	 ID 	 Gender 	 Appearance 	 Trial 	 Block 	 Bin 	 Condition 	 Category 	 Number 	 Valid 	 Keypress 	 Correct 	 RT 	 Realcorrect 	 Deadline 	 Timeout 	 Stimtrigger 	 Resptrigger 	 Fedtrigger 	 WithinTime 	 
13-Apr-2013	sub2309	2309	  1	  1	  1	  1	  1	  5	  1	  1	  0	  1	  0	0.95773	  1	0.60000	  1	 15	 37	 51	  0	
13-Apr-2013	sub2309	2309	  1	  1	  2	  1	  1	  6	  6	  6	  1	  1	  0	0.39349	  0	0.90000	  0	 16	 45	 46	  1	
13-Apr-2013	sub2309	2309	  1	  1	  3	  1	  1	  2	  2	  3	  1	  1	  0	0.52472	  0	0.90000	  0	 12	 40	 41	  0	
13-Apr-2013	sub2309	2309	  1	  1	  4	  1	  1	  1	  5	  6	  1	  1	  1	0.49288	  1	0.90000	  0	 11	 30	 31	  1	
13-Apr-2013	sub2309	2309	  1	  1	  5	  1	  1	  5	  1	  1	  1	  2	  0	0.62939	  0	0.90000	  0	 15	 45	 46	  0	
13-Apr-2013	sub2309	2309	  1	  1	  6	  1	  1	  3	  3	  3	  1	  1	  1	0.52154	  1	0.90000	  0	 13	 32	 33	  0	
13-Apr-2013	sub2309	2309	  1	  1	  7	  1	  1	  3	  3	  3	  1	  1	  1	0.53803	  1	0.90000	  0	 13	 32	 33	  0	
13-Apr-2013	sub2309	2309	  1	  1	  8	  1	  1	  3	  3	  3	  0	  1	  0	0.49990	  1	0.90000	  0	 13	 34	 49	  1	
13-Apr-2013	sub2309	2309	  1	  1	  9	  1	  1	  6	  6	  6	  0	  2	  0	0.46836	  1	0.90000	  0	 16	 37	 48	  1	
13-Apr-2013	sub2309	2309	  1	  1	 10	  1	  1	  2	  2	  3	  1	  2	  1	0.57066	  1	0.90000	  0	 12	 30	 31	  0	
13-Apr-2013	sub2309	2309	  1	  1	 11	  1	  1	  1	  5	  6	  1	  2	  0	0.58673	  0	0.90000	  0	 11	 40	 41	  0	
13-Apr-2013	sub2309	2309	  1	  1	 12	  1	  1	  5	  1	  1	  1	  2	  0	0.58721	  0	0.90000	  0	 15	 45	 46	  0	
13-Apr-2013	sub2309	2309	  1	  1	 13	  1	  1	  4	  4	  1	  1	  1	  0	0.52133	  0	0.90000	  0	 14	 42	 43	  0	
13-Apr-2013	sub2309	2309	  1	  1	 14	  1	  1	  4	  4	  1	  1	  2	  1	0.45424	  1	0.90000	  0	 14	 32	 33	  1	
13-Apr-2013	sub2309	2309	  1	  1	 15	  1	  1	  5	  1	  1	  1	  2	  0	0.65176	  0	0.90000	  0	 15	 45	 46	  0	
13-Apr-2013	sub2309	2309	  1	  1	 16	  1	  1	  1	  5	  6	  1	  2	  0	0.52601	  0	0.80000	  0	 11	 40	 41	  0	
13-Apr-2013	sub2309	2309	  1	  1	 17	  1	  1	  1	  5	  6	  1	  1	  1	0.53031	  1	0.80000	  0	 11	 30	 31	  0	
13-Apr-2013	sub2309	2309	  1	  1	 18	  1	  1	  1	  5	  6	  1	  1	  1	0.39623	  1	0.70000	  0	 11	 30	 31	  1	
13-Apr-2013	sub2309	2309	  1	  1	 19	  1	  1	  6	  6	  6	  0	  2	  0	0.54212	  1	0.70000	  0	 16	 37	 48	  0	
13-Apr-2013	sub2309	2309	  1	  1	 20	  1	  1	  6	  6	  6	  0	  1	  1	0.41596	  0	0.70000	  0	 16	 47	 38	  1	
13-Apr-2013	sub2309	2309	  1	  1	 21	  1	  1	  4	  4	  1	  0	  2	  0	0.58567	  1	0.60000	  0	 14	 34	 49	  0	
13-Apr-2013	sub2309	2309	  1	  1	 22	  1	  1	  3	  3	  3	  1	  2	  0	0.72902	  0	0.60000	  1	 13	 42	 51	  0	
13-Apr-2013	sub2309	2309	  1	  1	 23	  1	  1	  6	  6	  6	  1	  1	  0	0.59084	  0	0.90000	  0	 16	 45	 46	  0	
13-Apr-2013	sub2309	2309	  1	  1	 24	  1	  1	  5	  1	  1	  0	  2	  1	0.62933	  0	0.90000	  0	 15	 47	 38	  0	
13-Apr-2013	sub2309	2309	  1	  1	 25	  1	  1	  2	  2	  3	  1	  1	  0	0.53534	  0	0.90000	  0	 12	 40	 41	  0	
13-Apr-2013	sub2309	2309	  1	  1	 26	  1	  1	  4	  4	  1	  1	  2	  1	0.69293	  1	0.90000	  0	 14	 32	 33	  0	
