Date 	 Name 	 ID 	 Gender 	 Appearance 	 Trial 	 Block 	 Bin 	 Condition 	 Category 	 Number 	 Valid 	 Keypress 	 Correct 	 RT 	 Realcorrect 	 Deadline 	 Timeout 	 Stimtrigger 	 Resptrigger 	 Fedtrigger 	 WithinTime 	 
12-May-2013	sub2346	2346	  1	  1	  1	  1	  1	  4	  1	  2	  0	  1	  1	1.05527	  0	0.60000	  1	 14	 44	 51	  0	
12-May-2013	sub2346	2346	  1	  1	  2	  1	  1	  2	  3	  4	  1	  2	  1	0.28874	  1	0.90000	  0	 12	 30	 31	  1	
12-May-2013	sub2346	2346	  1	  1	  3	  1	  1	  6	  5	  4	  0	  1	  1	0.57301	  0	0.90000	  0	 16	 47	 38	  0	
12-May-2013	sub2346	2346	  1	  1	  4	  1	  1	  2	  3	  4	  1	  2	  1	0.32383	  1	0.90000	  0	 12	 30	 31	  1	
12-May-2013	sub2346	2346	  1	  1	  5	  1	  1	  6	  5	  4	  1	  1	  0	0.40051	  0	0.90000	  0	 16	 45	 46	  1	
12-May-2013	sub2346	2346	  1	  1	  6	  1	  1	  1	  2	  1	  1	  2	  0	0.56482	  0	0.90000	  0	 11	 40	 41	  0	
12-May-2013	sub2346	2346	  1	  1	  7	  1	  1	  6	  5	  4	  1	  2	  1	0.29288	  1	0.90000	  0	 16	 35	 36	  1	
12-May-2013	sub2346	2346	  1	  1	  8	  1	  1	  2	  3	  4	  1	  2	  1	0.31439	  1	0.90000	  0	 12	 30	 31	  1	
12-May-2013	sub2346	2346	  1	  1	  9	  1	  1	  4	  1	  2	  1	  2	  1	0.45135	  1	0.90000	  0	 14	 32	 33	  1	
12-May-2013	sub2346	2346	  1	  1	 10	  1	  1	  5	  6	  4	  1	  2	  0	0.41728	  0	0.90000	  0	 15	 45	 46	  1	
12-May-2013	sub2346	2346	  1	  1	 11	  1	  1	  3	  4	  4	  1	  1	  1	0.88074	  1	0.90000	  0	 13	 32	 33	  0	
12-May-2013	sub2346	2346	  1	  1	 12	  1	  1	  2	  3	  4	  1	  1	  0	0.50978	  0	0.90000	  0	 12	 40	 41	  0	
12-May-2013	sub2346	2346	  1	  1	 13	  1	  1	  2	  3	  4	  1	  2	  1	0.40595	  1	0.90000	  0	 12	 30	 31	  1	
12-May-2013	sub2346	2346	  1	  1	 14	  1	  1	  1	  2	  1	  1	  1	  1	0.60864	  1	0.90000	  0	 11	 30	 31	  0	
12-May-2013	sub2346	2346	  1	  1	 15	  1	  1	  4	  1	  2	  1	  2	  1	1.08106	  1	0.90000	  1	 14	 32	 51	  0	
12-May-2013	sub2346	2346	  1	  1	 16	  1	  1	  3	  4	  4	  1	  1	  1	0.33267	  1	0.90000	  0	 13	 32	 33	  1	
12-May-2013	sub2346	2346	  1	  1	 17	  1	  1	  3	  4	  4	  1	  1	  1	0.31562	  1	0.90000	  0	 13	 32	 33	  1	
12-May-2013	sub2346	2346	  1	  1	 18	  1	  1	  5	  6	  4	  0	  1	  0	0.34610	  1	0.90000	  0	 15	 37	 48	  1	
12-May-2013	sub2346	2346	  1	  1	 19	  1	  1	  6	  5	  4	  1	  2	  1	0.42854	  1	0.90000	  0	 16	 35	 36	  1	
12-May-2013	sub2346	2346	  1	  1	 20	  1	  1	  4	  1	  2	  1	  2	  1	0.34386	  1	0.90000	  0	 14	 32	 33	  1	
12-May-2013	sub2346	2346	  1	  1	 21	  1	  1	  1	  2	  1	  1	  2	  0	0.34564	  0	0.90000	  0	 11	 40	 41	  1	
12-May-2013	sub2346	2346	  1	  1	 22	  1	  1	  2	  3	  4	  1	  2	  1	0.77598	  1	0.90000	  0	 12	 30	 31	  0	
12-May-2013	sub2346	2346	  1	  1	 23	  1	  1	  1	  2	  1	  1	  1	  1	0.55777	  1	0.90000	  0	 11	 30	 31	  0	
12-May-2013	sub2346	2346	  1	  1	 24	  1	  1	  2	  3	  4	  1	  1	  0	0.55527	  0	0.90000	  0	 12	 40	 41	  0	
12-May-2013	sub2346	2346	  1	  1	 25	  1	  1	  6	  5	  4	  0	  2	  0	0.40319	  1	0.90000	  0	 16	 37	 48	  1	
12-May-2013	sub2346	2346	  1	  1	 26	  1	  1	  5	  6	  4	  1	  2	  0	0.82202	  0	0.90000	  0	 15	 45	 46	  0	
12-May-2013	sub2346	2346	  1	  1	 27	  1	  1	  3	  4	  4	  1	  1	  1	0.36719	  1	0.90000	  0	 13	 32	 33	  1	
12-May-2013	sub2346	2346	  1	  1	 28	  1	  1	  2	  3	  4	  1	  2	  1	0.35830	  1	0.90000	  0	 12	 30	 31	  1	
12-May-2013	sub2346	2346	  1	  1	 29	  1	  1	  6	  5	  4	  0	  2	  0	0.44565	  1	0.90000	  0	 16	 37	 48	  1	
12-May-2013	sub2346	2346	  1	  1	 30	  1	  1	  1	  2	  1	  1	  2	  0	0.65498	  0	0.80000	  0	 11	 40	 41	  0	
12-May-2013	sub2346	2346	  1	  1	 31	  1	  1	  1	  2	  1	  1	  1	  1	0.58534	  1	0.80000	  0	 11	 30	 31	  0	
12-May-2013	sub2346	2346	  1	  1	 32	  1	  1	  5	  6	  4	  0	  1	  0	0.40216	  1	0.80000	  0	 15	 37	 48	  1	
12-May-2013	sub2346	2346	  1	  1	 33	  1	  1	  6	  5	  4	  0	  2	  0	0.61969	  1	0.80000	  0	 16	 37	 48	  0	
12-May-2013	sub2346	2346	  1	  1	 34	  1	  1	  5	  6	  4	  1	  1	  1	0.61914	  1	0.80000	  0	 15	 35	 36	  0	
12-May-2013	sub2346	2346	  1	  1	 35	  1	  1	  5	  6	  4	  0	  1	  0	0.55017	  1	0.70000	  0	 15	 37	 48	  0	
12-May-2013	sub2346	2346	  1	  1	 36	  1	  1	  2	  3	  4	  1	  1	  0	0.55839	  0	0.70000	  0	 12	 40	 41	  0	
12-May-2013	sub2346	2346	  1	  1	 37	  1	  1	  3	  4	  4	  1	  2	  0	0.60702	  0	0.70000	  0	 13	 42	 43	  0	
12-May-2013	sub2346	2346	  1	  1	 38	  1	  1	  6	  5	  4	  0	  2	  0	0.69630	  1	0.70000	  0	 16	 37	 48	  0	
12-May-2013	sub2346	2346	  1	  1	 39	  1	  1	  3	  4	  4	  0	  2	  1	0.39858	  0	0.70000	  0	 13	 44	 39	  1	
12-May-2013	sub2346	2346	  1	  1	 40	  1	  1	  5	  6	  4	  0	  1	  0	0.63928	  1	0.70000	  0	 15	 37	 48	  0	
12-May-2013	sub2346	2346	  1	  1	 41	  1	  1	  1	  2	  1	  1	  2	  0	0.84251	  0	0.60000	  1	 11	 40	 51	  0	
12-May-2013	sub2346	2346	  1	  1	 42	  1	  1	  1	  2	  1	  1	  2	  0	0.39780	  0	0.90000	  0	 11	 40	 41	  1	
12-May-2013	sub2346	2346	  1	  1	 43	  1	  1	  4	  1	  2	  1	  1	  0	0.43507	  0	0.90000	  0	 14	 42	 43	  1	
12-May-2013	sub2346	2346	  1	  1	 44	  1	  1	  4	  1	  2	  1	  2	  1	0.45690	  1	0.80000	  0	 14	 32	 33	  1	
12-May-2013	sub2346	2346	  1	  1	 45	  1	  1	  2	  3	  4	  1	  2	  1	0.54068	  1	0.80000	  0	 12	 30	 31	  0	
12-May-2013	sub2346	2346	  1	  1	 46	  1	  1	  4	  1	  2	  1	  2	  1	0.52272	  1	0.80000	  0	 14	 32	 33	  0	
12-May-2013	sub2346	2346	  1	  1	 47	  1	  1	  2	  3	  4	  1	  1	  0	0.67217	  0	0.80000	  0	 12	 40	 41	  0	
12-May-2013	sub2346	2346	  1	  1	 48	  1	  1	  3	  4	  4	  0	  2	  1	0.53175	  0	0.80000	  0	 13	 44	 39	  0	
12-May-2013	sub2346	2346	  1	  1	 49	  1	  1	  3	  4	  4	  1	  2	  0	0.43906	  0	0.80000	  0	 13	 42	 43	  1	
12-May-2013	sub2346	2346	  1	  1	 50	  1	  1	  4	  1	  2	  1	  2	  1	0.57106	  1	0.80000	  0	 14	 32	 33	  0	
12-May-2013	sub2346	2346	  1	  1	 51	  1	  1	  3	  4	  4	  1	  1	  1	0.92095	  1	0.70000	  1	 13	 32	 51	  0	
