Date 	 Name 	 ID 	 Gender 	 Appearance 	 Trial 	 Block 	 Bin 	 Condition 	 Category 	 Number 	 Valid 	 Keypress 	 Correct 	 RT 	 Realcorrect 	 Deadline 	 Timeout 	 Stimtrigger 	 Resptrigger 	 Fedtrigger 	WithinTime
8-Apr-13	sub2301	2301	1	0	1	1	1	4	1	1	1	0	0	0	0	0.6	1	14	0	51	0
8-Apr-13	sub2301	2301	1	0	2	1	1	2	2	2	1	0	0	0	0	0.9	1	12	0	51	0
8-Apr-13	sub2301	2301	1	0	3	1	1	2	2	2	1	0	0	0	0	0.9	1	12	0	51	0
8-Apr-13	sub2301	2301	1	0	4	1	1	6	3	2	0	0	0	0	0	0.9	1	16	0	51	0
8-Apr-13	sub2301	2301	1	0	5	1	1	6	3	2	1	0	0	0	0	0.9	1	16	0	51	0
8-Apr-13	sub2301	2301	1	0	6	1	1	2	2	2	1	0	0	0	0	0.9	1	12	0	51	0
8-Apr-13	sub2301	2301	1	0	7	1	1	6	3	2	0	0	0	0	0	0.9	1	16	0	51	0
8-Apr-13	sub2301	2301	1	0	8	1	1	6	3	2	1	0	0	0	0	0.9	1	16	0	51	0
8-Apr-13	sub2301	2301	1	0	9	1	1	2	2	2	1	0	0	0	0	0.9	1	12	0	51	0
8-Apr-13	sub2301	2301	1	0	10	1	1	2	2	2	1	0	0	0	0	0.9	1	12	0	51	0
8-Apr-13	sub2301	2301	1	0	11	1	1	6	3	2	0	0	0	0	0	0.9	1	16	0	51	0
8-Apr-13	sub2301	2301	1	0	12	1	1	1	4	2	1	0	0	0	0	0.9	1	11	0	51	0
8-Apr-13	sub2301	2301	1	0	13	1	1	3	6	3	1	0	0	0	0	0.9	1	13	0	51	0
8-Apr-13	sub2301	2301	1	0	14	1	1	3	6	3	1	0	0	0	0	0.9	1	13	0	51	0
8-Apr-13	sub2301	2301	1	0	15	1	1	4	1	1	1	2	1	0.11796	1	0.9	0	14	32	33	0
8-Apr-13	sub2301	2301	1	0	16	1	1	4	1	1	0	1	1	0.36862	0	0.9	0	14	44	39	0
8-Apr-13	sub2301	2301	1	0	17	1	1	3	6	3	1	2	0	0.3702	0	0.9	0	13	42	43	0
8-Apr-13	sub2301	2301	1	0	18	1	1	1	4	2	1	2	0	0.36388	0	0.9	0	11	40	41	0
8-Apr-13	sub2301	2301	1	0	19	1	1	1	4	2	1	1	1	0.29065	1	0.9	0	11	30	31	0
8-Apr-13	sub2301	2301	1	0	20	1	1	1	4	2	1	1	1	0.47344	1	0.9	0	11	30	31	0
8-Apr-13	sub2301	2301	1	0	21	1	1	2	2	2	1	2	1	0.42642	1	0.9	0	12	30	31	0
8-Apr-13	sub2301	2301	1	0	22	1	1	1	4	2	1	2	0	0.17394	0	0.9	0	11	40	41	0
8-Apr-13	sub2301	2301	1	0	23	1	1	4	1	1	1	2	1	0.00965	1	0.9	0	14	32	33	0
8-Apr-13	sub2301	2301	1	0	24	1	1	1	4	2	1	1	1	0.00696	1	0.9	0	11	30	31	0
8-Apr-13	sub2301	2301	1	0	25	1	1	4	1	1	1	2	1	0.15397	1	0.9	0	14	32	33	0
8-Apr-13	sub2301	2301	1	0	26	1	1	2	2	2	1	2	1	0.25871	1	0.9	0	12	30	31	0
8-Apr-13	sub2301	2301	1	0	27	1	1	2	2	2	1	2	1	0.42861	1	0.9	0	12	30	31	0
8-Apr-13	sub2301	2301	1	0	28	1	1	5	5	6	1	1	1	0.02805	1	0.9	0	15	35	36	0
8-Apr-13	sub2301	2301	1	0	29	1	1	4	1	1	1	2	1	0.04149	1	0.9	0	14	32	33	0
8-Apr-13	sub2301	2301	1	0	30	1	1	6	3	2	1	1	0	0.07495	0	0.9	0	16	45	46	0
