Date 	 Name 	 ID 	 Gender 	 Appearance 	 Trial 	 Block 	 Bin 	 Condition 	 Category 	 Number 	 Valid 	 Keypress 	 Correct 	 RT 	 Realcorrect 	 Deadline 	 Timeout 	 Stimtrigger 	 Resptrigger 	 Fedtrigger 	 WithinTime 	 
15-Apr-2013	sub2312	2312	  2	  0	  1	  1	  1	  5	  6	  1	  1	  1	  1	0.91223	  1	0.60000	  1	 15	 35	 51	  0	
15-Apr-2013	sub2312	2312	  2	  0	  2	  1	  1	  4	  4	  3	  1	  2	  1	0.61625	  1	0.90000	  0	 14	 32	 33	  0	
15-Apr-2013	sub2312	2312	  2	  0	  3	  1	  1	  5	  6	  1	  1	  1	  1	0.70964	  1	0.90000	  0	 15	 35	 36	  0	
15-Apr-2013	sub2312	2312	  2	  0	  4	  1	  1	  2	  2	  6	  1	  1	  0	0.62786	  0	0.90000	  0	 12	 40	 41	  0	
15-Apr-2013	sub2312	2312	  2	  0	  5	  1	  1	  6	  5	  1	  0	  1	  1	0.61430	  0	0.90000	  0	 16	 47	 38	  0	
15-Apr-2013	sub2312	2312	  2	  0	  6	  1	  1	  1	  3	  6	  1	  1	  1	0.60529	  1	0.90000	  0	 11	 30	 31	  0	
15-Apr-2013	sub2312	2312	  2	  0	  7	  1	  1	  3	  1	  4	  1	  2	  0	0.60504	  0	0.90000	  0	 13	 42	 43	  0	
15-Apr-2013	sub2312	2312	  2	  0	  8	  1	  1	  6	  5	  1	  1	  1	  0	0.52142	  0	0.90000	  0	 16	 45	 46	  0	
15-Apr-2013	sub2312	2312	  2	  0	  9	  1	  1	  2	  2	  6	  1	  1	  0	0.61959	  0	0.90000	  0	 12	 40	 41	  0	
15-Apr-2013	sub2312	2312	  2	  0	 10	  1	  1	  1	  3	  6	  1	  1	  1	0.51165	  1	0.90000	  0	 11	 30	 31	  0	
15-Apr-2013	sub2312	2312	  2	  0	 11	  1	  1	  3	  1	  4	  1	  2	  0	0.59281	  0	0.90000	  0	 13	 42	 43	  0	
15-Apr-2013	sub2312	2312	  2	  0	 12	  1	  1	  2	  2	  6	  1	  1	  0	0.52871	  0	0.90000	  0	 12	 40	 41	  0	
15-Apr-2013	sub2312	2312	  2	  0	 13	  1	  1	  3	  1	  4	  1	  2	  0	0.88146	  0	0.90000	  0	 13	 42	 43	  0	
15-Apr-2013	sub2312	2312	  2	  0	 14	  1	  1	  5	  6	  1	  0	  1	  0	0.55323	  1	0.90000	  0	 15	 37	 48	  0	
15-Apr-2013	sub2312	2312	  2	  0	 15	  1	  1	  5	  6	  1	  1	  1	  1	0.57772	  1	0.90000	  0	 15	 35	 36	  0	
15-Apr-2013	sub2312	2312	  2	  0	 16	  1	  1	  1	  3	  6	  1	  1	  1	0.57499	  1	0.80000	  0	 11	 30	 31	  0	
15-Apr-2013	sub2312	2312	  2	  0	 17	  1	  1	  2	  2	  6	  1	  2	  1	0.68098	  1	0.80000	  0	 12	 30	 31	  0	
15-Apr-2013	sub2312	2312	  2	  0	 18	  1	  1	  4	  4	  3	  0	  2	  0	0.50786	  1	0.70000	  0	 14	 34	 49	  0	
15-Apr-2013	sub2312	2312	  2	  0	 19	  1	  1	  4	  4	  3	  1	  2	  1	0.54525	  1	0.70000	  0	 14	 32	 33	  0	
15-Apr-2013	sub2312	2312	  2	  0	 20	  1	  1	  1	  3	  6	  1	  1	  1	0.49373	  1	0.70000	  0	 11	 30	 31	  1	
15-Apr-2013	sub2312	2312	  2	  0	 21	  1	  1	  4	  4	  3	  1	  2	  1	15.84169	  1	0.60000	  1	 14	 32	 51	  0	
15-Apr-2013	sub2312	2312	  2	  0	 22	  1	  1	  4	  4	  3	  1	  2	  1	0.46344	  1	0.90000	  0	 14	 32	 33	  1	
15-Apr-2013	sub2312	2312	  2	  0	 23	  1	  1	  3	  1	  4	  1	  2	  0	0.50301	  0	0.90000	  0	 13	 42	 43	  0	
15-Apr-2013	sub2312	2312	  2	  0	 24	  1	  1	  5	  6	  1	  1	  1	  1	0.62010	  1	0.90000	  0	 15	 35	 36	  0	
15-Apr-2013	sub2312	2312	  2	  0	 25	  1	  1	  4	  4	  3	  1	  2	  1	0.68714	  1	0.90000	  0	 14	 32	 33	  0	
15-Apr-2013	sub2312	2312	  2	  0	 26	  1	  1	  5	  6	  1	  0	  1	  0	0.50112	  1	0.90000	  0	 15	 37	 48	  0	
15-Apr-2013	sub2312	2312	  2	  0	 27	  1	  1	  3	  1	  4	  0	  2	  1	0.49392	  0	0.90000	  0	 13	 44	 39	  1	
15-Apr-2013	sub2312	2312	  2	  0	 28	  1	  1	  4	  4	  3	  1	  2	  1	0.53828	  1	0.90000	  0	 14	 32	 33	  0	
15-Apr-2013	sub2312	2312	  2	  0	 29	  1	  1	  3	  1	  4	  1	  2	  0	0.53723	  0	0.90000	  0	 13	 42	 43	  0	
15-Apr-2013	sub2312	2312	  2	  0	 30	  1	  1	  6	  5	  1	  0	  1	  1	0.44613	  0	0.80000	  0	 16	 47	 38	  1	
15-Apr-2013	sub2312	2312	  2	  0	 31	  1	  1	  4	  4	  3	  1	  2	  1	0.38237	  1	0.80000	  0	 14	 32	 33	  1	
15-Apr-2013	sub2312	2312	  2	  0	 32	  1	  1	  1	  3	  6	  1	  1	  1	0.50717	  1	0.80000	  0	 11	 30	 31	  0	
15-Apr-2013	sub2312	2312	  2	  0	 33	  1	  1	  1	  3	  6	  1	  1	  1	0.47651	  1	0.80000	  0	 11	 30	 31	  1	
15-Apr-2013	sub2312	2312	  2	  0	 34	  1	  1	  2	  2	  6	  1	  1	  0	0.54769	  0	0.80000	  0	 12	 40	 41	  0	
15-Apr-2013	sub2312	2312	  2	  0	 35	  1	  1	  6	  5	  1	  1	  1	  0	0.68028	  0	0.70000	  0	 16	 45	 46	  0	
15-Apr-2013	sub2312	2312	  2	  0	 36	  1	  1	  4	  4	  3	  1	  2	  1	0.40774	  1	0.70000	  0	 14	 32	 33	  1	
15-Apr-2013	sub2312	2312	  2	  0	 37	  1	  1	  3	  1	  4	  1	  2	  0	0.53677	  0	0.70000	  0	 13	 42	 43	  0	
15-Apr-2013	sub2312	2312	  2	  0	 38	  1	  1	  5	  6	  1	  1	  1	  1	0.53809	  1	0.70000	  0	 15	 35	 36	  0	
