subid,appearance,real_trial,trial_perC,trial,block,bin,cond,choice,feedback,RT,ACC,prob,LR,immedRT,immedRTdiff,immedRT_corr,immedRTdiff_corr,delayRT,delayRTdiff,delayRT_corr,delayRTdiff_corr,stay_switch,con_incon,Re_choseL,Re_choseC,delay,N_choseL,NC_choseL,N_choseC,NC_choseC,N_cur_choice,NC_cur_choice,
2301,0,176,4,26,2,1,1,1,1,0.39593,1,1,1,0.10739,-0.28854,NaN,NaN,0.49613,0.1002,0.49613,0.1002,1,1,1,1,1,2,2,2,2,2,2
2301,0,184,5,34,2,1,1,1,1,0.49613,1,1,1,NaN,NaN,NaN,NaN,0.48516,-0.01097,0.48516,-0.01097,1,1,1,1,7,3,3,3,3,3,3
2301,0,186,6,36,2,1,1,1,1,0.48516,1,1,1,0.49011,0.00495,0.49011,0.00495,NaN,NaN,NaN,NaN,1,1,1,1,1,4,4,4,4,4,4
2301,0,188,7,38,2,1,1,1,1,0.03033,1,1,1,NaN,NaN,NaN,NaN,0.45274,NaN,0.45274,NaN,1,1,1,1,1,5,5,5,5,5,5
2301,0,197,8,47,2,1,1,1,1,0.45274,1,1,1,0.36311,-0.08963,0.36311,-0.08963,0.38375,-0.06899,0.38375,-0.06899,1,1,1,1,8,6,6,6,6,6,6
2301,0,206,9,56,2,1,1,1,1,0.38375,1,1,1,0.10733,-0.27642,NaN,NaN,0.37073,-0.01302,0.37073,-0.01302,1,1,1,1,8,7,7,7,7,7,7
2301,0,209,10,59,2,1,1,1,1,0.37073,1,1,1,0.378,0.00727,NaN,NaN,NaN,NaN,NaN,NaN,1,1,1,1,2,8,8,8,8,8,8
2301,0,214,11,64,2,1,1,1,1,0.02556,1,1,1,0.34671,NaN,0.34671,NaN,0.34671,NaN,0.34671,NaN,1,1,1,1,4,9,9,9,9,9,9
2301,0,215,12,65,2,1,1,1,1,0.34671,1,1,1,0.45674,0.11003,NaN,NaN,0.43553,0.08882,0.43553,0.08882,1,1,1,1,0,10,10,10,10,10,10
2301,0,235,13,85,2,2,1,1,1,0.43553,1,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,1,1,19,11,11,11,11,11,11
2301,0,238,14,88,2,2,1,1,1,0.01031,1,1,1,NaN,NaN,NaN,NaN,0.39937,NaN,0.39937,NaN,1,1,1,1,2,12,12,12,12,12,12
2301,0,245,15,95,2,2,1,1,1,0.39937,1,1,1,NaN,NaN,NaN,NaN,0.47127,0.0719,0.47127,0.0719,1,1,1,1,6,13,13,13,13,13,13
2301,0,254,16,104,2,2,1,1,1,0.47127,1,1,1,0.47602,0.00475,0.47602,0.00475,0.35613,-0.11514,0.35613,-0.11514,1,1,1,1,8,14,14,14,14,14,14
2301,0,258,17,108,2,2,1,1,1,0.35613,1,1,1,0.35406,-0.00207,0.35406,-0.00207,0.35406,-0.00207,0.35406,-0.00207,1,1,1,1,3,15,15,15,15,15,15
2301,0,259,18,109,2,2,1,1,1,0.35406,1,1,1,0.47718,0.12312,NaN,NaN,0.41943,0.06537,0.41943,0.06537,1,1,1,1,0,16,16,16,16,16,16
2301,0,261,19,111,2,2,1,1,1,0.41943,1,1,1,NaN,NaN,NaN,NaN,0.35051,-0.06892,0.35051,-0.06892,1,1,1,1,1,17,17,17,17,17,17
2301,0,270,20,120,2,2,1,1,1,0.35051,1,1,1,0.33744,-0.01307,0.33744,-0.01307,0.33744,-0.01307,0.33744,-0.01307,1,1,1,1,8,18,18,18,18,18,18
2301,0,271,21,121,2,2,1,1,1,0.33744,1,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,0,19,19,19,19,19,19
2301,0,285,22,135,2,2,1,NaN,NaN,NaN,NaN,1,1,NaN,NaN,NaN,NaN,0.44648,NaN,0.44648,NaN,NaN,NaN,1,1,13,20,20,20,20,0,0
2301,0,288,23,138,2,2,1,1,1,0.44648,1,1,1,0.16343,-0.28305,0.16343,-0.28305,0.12735,-0.31913,0.12735,-0.31913,1,1,NaN,0,2,20,20,20,20,20,20
2301,0,297,24,147,2,2,1,1,1,0.12735,1,1,1,NaN,NaN,NaN,NaN,0.42249,0.29514,0.42249,0.29514,1,1,1,1,8,21,21,21,21,21,21
2301,0,299,25,149,2,2,1,1,1,0.42249,1,1,1,0.40749,-0.015,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,1,22,22,22,22,22,22
2301,0,306,1,6,3,1,1,2,0,0.06734,0,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,NaN,NaN,NaN,0,0,0,0,0,0
2301,0,316,2,16,3,1,1,2,0,0.08387,0,1,1,0.13642,NaN,0.13642,NaN,0.47933,NaN,0.47933,NaN,0,1,1,1,9,0,0,0,0,1,0
2301,0,321,3,21,3,1,1,1,1,0.47933,1,1,1,NaN,NaN,NaN,NaN,0.46483,-0.0145,0.46483,-0.0145,1,1,1,1,4,0,0,0,0,0,0
2301,0,333,4,33,3,1,1,1,1,0.46483,1,1,1,NaN,NaN,NaN,NaN,0.44206,-0.02277,NaN,NaN,0,0,1,1,11,1,1,1,1,1,1
2301,0,338,5,38,3,1,1,2,0,0.44206,0,1,1,0.45651,0.01445,0.45651,0.01445,NaN,NaN,NaN,NaN,0,1,1,1,4,2,2,2,2,2,0
2301,0,348,6,48,3,1,1,1,1,0.0314,1,1,1,NaN,NaN,NaN,NaN,0.40056,NaN,0.40056,NaN,1,1,1,1,9,2,2,2,2,2,2
2301,0,352,7,52,3,1,1,1,1,0.40056,1,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,1,1,3,3,3,3,3,3,3
2301,0,361,8,61,3,1,1,1,1,0.02616,1,1,1,NaN,NaN,NaN,NaN,0.47107,NaN,0.47107,NaN,1,1,1,1,8,4,4,4,4,4,4
2301,0,363,9,63,3,1,1,1,1,0.47107,1,1,1,NaN,NaN,NaN,NaN,0.48189,0.01082,0.48189,0.01082,1,1,1,1,1,5,5,5,5,5,5
2301,0,366,10,66,3,1,1,1,1,0.48189,1,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,2,6,6,6,6,6,6
2301,0,369,11,69,3,1,1,NaN,NaN,NaN,NaN,1,1,0.47095,NaN,0.47095,NaN,0.44798,NaN,0.44798,NaN,NaN,NaN,1,1,2,7,7,7,7,0,0
2301,0,374,12,74,3,1,1,1,1,0.44798,1,1,1,NaN,NaN,NaN,NaN,0.45298,0.005,0.45298,0.005,1,1,NaN,0,4,7,7,7,7,7,7
2301,0,385,13,85,3,2,1,1,1,0.45298,1,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,1,1,10,8,8,8,8,8,8
2301,0,387,14,87,3,2,1,1,1,0.03563,1,1,1,0.41547,NaN,0.41547,NaN,0.41814,NaN,0.41814,NaN,1,1,1,1,1,9,9,9,9,9,9
2301,0,391,15,91,3,2,1,1,1,0.41814,1,1,1,0.39307,-0.02507,0.39307,-0.02507,0.48511,0.06697,0.48511,0.06697,1,1,1,1,3,10,10,10,10,10,10
2301,0,404,16,104,3,2,1,1,1,0.48511,1,1,1,0.40718,-0.07793,0.40718,-0.07793,0.35874,-0.12637,NaN,NaN,0,0,1,1,12,11,11,11,11,11,11
2301,0,406,17,106,3,2,1,2,0,0.35874,0,1,1,0.44306,0.08432,0.44306,0.08432,0.44306,0.08432,0.44306,0.08432,0,1,1,1,1,12,12,12,12,3,0
2301,0,407,18,107,3,2,1,1,1,0.44306,1,1,1,0.46445,0.02139,0.46445,0.02139,0.4668,0.02374,NaN,NaN,0,0,1,1,0,12,12,12,12,12,12
2301,0,409,19,109,3,2,1,2,0,0.4668,0,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,1,1,1,1,13,13,13,13,4,0
